Famoso,DINOv2,Histograma,ResNet50,SIFT,VGG-Face
Angelina Jolie,62.0,36.0,54.0,42.0,91.0
Leonardo DiCaprio,65.0,22.0,41.0,29.0,91.0
Nicole Kidman,57.0,38.0,21.0,41.0,53.0
Tom Cruise,32.0,37.0,17.0,32.22222222222222,59.0
Will Smith,54.0,29.0,55.0,32.0,77.0
