Extractor,Top-1 Accuracy (%),Top-10 Accuracy (%),Tiempo Medio (s)
VGG-Face,68.0,74.2,0.27494741439819337
DINOv2,60.0,54.0,0.2782094812393188
ResNet50,34.0,37.6,0.12577467918395996
SIFT,40.816326530612244,35.30612244897959,0.1803094854160231
Histograma,40.0,32.4,0.02169790744781494
